GrouP28,,,,,
P1,P2,P3,P4,P5,PC
233.258347,112.58,107.5,97.94,80.86,80
232.6128204,112.36,107.23,97.96,80.78,80
233.4789466,112.36,107.01,97.93,80.45,80
233.7446027,112.34,106.93,97.98,80.17,80
235.2759526,112.58,106.94,98,79.86,80
236.1561172,112.69,106.93,97.99,79.65,80
236.7531639,112.69,106.77,98.05,79.26,80
236.5445818,112.47,106.72,98.04,78.75,80
236.5779231,112.45,106.58,98.01,78.85,80
237.6294179,112.65,106.66,97.97,78.8,80
237.7350458,112.58,106.56,97.96,78.61,80
238.1720053,112.56,106.53,98,78.19,80
238.3231447,112.57,106.45,98.01,78.17,80
239.9975467,112.95,106.64,98.02,78.08,80
240.2435759,112.97,106.64,98,78.02,80
240.3734867,112.99,106.62,97.95,78.12,80
241.1865294,113.18,106.7,98,78.01,80
243.2334598,113.61,106.71,98.01,77.99,80
248.6733994,115.25,107.6,98.06,78.74,80
254.3664733,116.75,108.43,98.06,79.02,80
256.7932814,117.44,108.83,98.09,79.2,80
256.8632575,117.55,109.17,97.98,79.44,80
252.1562469,116.65,109.06,97.93,79.91,80
255.0295694,117.26,108.77,97.96,80.14,80
260.1199664,118.38,108.92,98.02,80.07,80
261.800722,119.05,109.27,98.02,80.8,80
263.2292522,119.43,109.6,97.96,80.9,80
262.4627505,119.37,109.76,97.99,81.02,80
257.0303964,118.19,109.5,98.07,80.93,80
252.4996795,117.11,109.14,97.98,81,80
256.1237488,118.03,109.56,97.99,81.14,80
260.0239562,119.16,110.2,98.01,81.56,80
261.6050658,119.59,110.34,98.03,81.72,80
261.1591276,119.44,110.23,98.05,81.59,80
260.3819563,119.19,110.18,98.03,81.39,80
259.9019179,119.06,110.17,97.95,81.47,80
258.9435107,118.95,110.17,97.98,81.7,80
259.4005709,119,110.16,97.99,81.54,80
256.700956,118.25,109.8,98,81.23,80
256.9183179,118.45,109.9,98.05,81.54,80
260.9126965,119.41,110.37,97.91,81.83,80
261.3517695,119.51,110.37,97.98,81.71,80
260.7870691,119.43,110.36,98,81.8,80
260.6343554,119.38,110.3,98.04,81.71,80
258.7233261,119.03,110.16,98.07,81.93,80
257.5188341,118.59,109.97,98.01,81.61,80
257.0296432,118.49,109.88,97.98,81.76,80
258.5156877,118.86,110,97.97,81.87,80
259.7688847,119.15,110.11,98.02,81.76,80
260.930372,119.47,110.29,98.05,81.79,80
260.8261273,119.45,110.31,98.03,81.82,80
259.0157327,119.06,110.16,98.06,81.85,80
257.6255341,118.66,109.98,97.98,81.82,80
256.7842135,118.42,109.83,98.01,81.68,80
256.9101376,118.42,109.8,98.02,81.6,80
242.9994705,113.93,109.02,97.87,77.43,80
226.7873522,109.38,107.25,97.83,75.28,80
219.0112478,107,105.61,97.91,74.1,80
,105.82,,97.93,73.24,80
,105.06,,97.99,72.36,80
,,,98,71.91,80
,,,98.05,71.44,80
,,,98,71.08,80
,,,97.94,70.57,80
,,,98,70.19,80
,,,98.03,69.69,80
,,,98,69.41,80
,,,98.01,69.23,80
,,,98.04,68.74,80
,,,97.96,68.76,80
,,,97.99,68.6,80
,,,97.99,68.24,80
,,,98.01,68.48,80
,,,97.96,68.16,80
,,,97.98,67.92,80
,,,98.01,67.72,80
,,,98.05,67.86,80
,,,98,67.94,80
,,,97.99,67.66,80
,105.03,,98,67.46,80
,105.05,,97.97,67.34,80
,105.44,,97.99,66.93,80
,105.91,,98.01,66.92,79
,105.72,,98.03,66.42,79
,105.55,,98.02,66.29,79
,105.35,,97.99,65.94,79
,105.21,,97.96,65.95,79
,105.1,,98,65.96,79
,105.02,,98,65.63,79
,,,98.05,65.57,79
,,,98.05,65.4,79
,,,98.02,65.41,79
,,,98.04,65.35,79
,,,97.98,65.31,79
,,,97.95,65.24,79
,,,97.98,65.13,79
,,,97.98,65.38,79
,,,98.04,65.34,79
,,,98.01,65.11,79
,,,98,65.14,79
,,,97.96,65.05,79
,,,97.99,64.96,79
,,,97.96,65.17,79
,,,97.99,65.15,79
,,,98.03,65.03,79
,,,98.04,64.98,79
,,,98.02,65.04,79
,,,98.03,65.11,79
,,,97.99,65.02,79
,,,97.95,65.07,79
,,,98.03,65.05,79
,,,98.01,65.18,79
,,,98.02,65.23,79
,,,98.06,65.41,79
,,,98.03,65.43,79
,,,97.99,65.34,79
,,,97.98,65.43,79
,,,97.99,65.27,79
,,,98,65.29,79
,,,98.01,65.37,79
,,,98.02,65.39,79
,,,97.93,65.26,79
,,,97.99,65.33,79
,,,98.02,65.52,79
,,,98.03,65.5,79
,,,98.02,65.37,79
,,,98.01,65.59,79
,,,97.93,65.53,79
,,,98.01,65.56,79
,,,97.98,65.72,79
,,,98.01,65.57,79
,,,98.02,65.5,79
,,,98.06,65.47,79
,,,98.07,65.43,79
,,,97.96,65.44,79
,105.04,,97.95,65.45,79
,105.03,,98.02,65.45,79
,105.1,,98,65.53,79
